tanggal,harga
26-Feb-13,22952
27-Feb-13,23062
28-Feb-13,23781
01-Mar-13,24168
02-Mar-13,25029
03-Mar-13,25173
04-Mar-13,27000
05-Mar-13,27802
06-Mar-13,28788
07-Mar-13,29937
08-Mar-13,30703
09-Mar-13,31857
10-Mar-13,32703
11-Mar-13,34160
12-Mar-13,34219
13-Mar-13,34193
14-Mar-13,35291
15-Mar-13,36442
16-Mar-13,36046
17-Mar-13,36098
18-Mar-13,35777
19-Mar-13,36143
20-Mar-13,37073
21-Mar-13,38839
22-Mar-13,39164
23-Mar-13,39913
24-Mar-13,39794
25-Mar-13,41036
26-Mar-13,43827
27-Mar-13,42825
28-Mar-13,41377
29-Mar-13,40914
30-Mar-13,40824
31-Mar-13,40744
01-Apr-13,41459
02-Apr-13,41594
03-Apr-13,42140
04-Apr-13,41509
05-Apr-13,41551
06-Apr-13,41319
07-Apr-13,41305
08-Apr-13,40396
09-Apr-13,40023
10-Apr-13,40303
11-Apr-13,38877
12-Apr-13,37289
13-Apr-13,36161
14-Apr-13,35420
15-Apr-13,33551
16-Apr-13,33009
17-Apr-13,30985
18-Apr-13,30504
19-Apr-13,27570
20-Apr-13,25679
21-Apr-13,25433
22-Apr-13,22799
23-Apr-13,21686
24-Apr-13,22387
25-Apr-13,20369
26-Apr-13,20042
27-Apr-13,19420
28-Apr-13,20072
29-Apr-13,16976
30-Apr-13,16775
01-May-13,16845
02-May-13,16092
03-May-13,15800
04-May-13,15151
05-May-13,14860
06-May-13,14402
07-May-13,14156
08-May-13,13991
09-May-13,13888
10-May-13,13616
11-May-13,13471
12-May-13,13317
13-May-13,13064
14-May-13,13088
15-May-13,12967
16-May-13,12361
17-May-13,12922
18-May-13,13629
19-May-13,15347
20-May-13,16156
21-May-13,17642
22-May-13,18841
23-May-13,18589
24-May-13,18907
25-May-13,18655
26-May-13,19239
27-May-13,19366
28-May-13,19200
29-May-13,19169
30-May-13,18720
31-May-13,18375
01-Jun-13,17588
02-Jun-13,17348
03-Jun-13,16505
04-Jun-13,16223
05-Jun-13,16173
06-Jun-13,16257
07-Jun-13,16196
08-Jun-13,16289
09-Jun-13,16210
10-Jun-13,16415
11-Jun-13,16462
12-Jun-13,16476
13-Jun-13,16853
14-Jun-13,16957
15-Jun-13,17327
16-Jun-13,18166
17-Jun-13,20199
18-Jun-13,21677
19-Jun-13,23266
20-Jun-13,24457
21-Jun-13,26117
22-Jun-13,28990
23-Jun-13,30985
24-Jun-13,32839
25-Jun-13,34336
26-Jun-13,34263
27-Jun-13,36415
28-Jun-13,39948
29-Jun-13,42107
30-Jun-13,41804
01-Jul-13,42990
02-Jul-13,46102
03-Jul-13,49294
04-Jul-13,51766
05-Jul-13,52254
06-Jul-13,53560
07-Jul-13,54386
08-Jul-13,55183
09-Jul-13,55924
10-Jul-13,59035
11-Jul-13,63652
12-Jul-13,66338
13-Jul-13,67504
14-Jul-13,67528
15-Jul-13,59339
16-Jul-13,60254
17-Jul-13,62353
18-Jul-13,63047
19-Jul-13,61471
20-Jul-13,61283
21-Jul-13,61504
22-Jul-13,61283
23-Jul-13,61693
24-Jul-13,61745
25-Jul-13,60198
26-Jul-13,59622
27-Jul-13,59202
28-Jul-13,59000
29-Jul-13,58171
30-Jul-13,57252
31-Jul-13,54650
01-Aug-13,52061
02-Aug-13,50797
03-Aug-13,50698
04-Aug-13,52142
05-Aug-13,53533
06-Aug-13,54349
07-Aug-13,53800
08-Aug-13,54692
09-Aug-13,53574
10-Aug-13,53953
11-Aug-13,53539
12-Aug-13,49096
13-Aug-13,46457
14-Aug-13,44271
15-Aug-13,42514
16-Aug-13,43141
17-Aug-13,43009
18-Aug-13,42429
19-Aug-13,41169
20-Aug-13,39537
21-Aug-13,39146
22-Aug-13,39240
23-Aug-13,38476
24-Aug-13,38183
25-Aug-13,37636
26-Aug-13,37523
27-Aug-13,37169
28-Aug-13,35948
29-Aug-13,35514
30-Aug-13,35962
31-Aug-13,34284
01-Sep-13,32838
02-Sep-13,32311
03-Sep-13,31349
04-Sep-13,30731
05-Sep-13,29047
06-Sep-13,28390
07-Sep-13,28135
08-Sep-13,27789
09-Sep-13,25804
10-Sep-13,25075
11-Sep-13,24816
12-Sep-13,24726
13-Sep-13,24985
14-Sep-13,25053
15-Sep-13,24688
16-Sep-13,24419
17-Sep-13,24325
18-Sep-13,24419
19-Sep-13,24556
20-Sep-13,24566
21-Sep-13,23895
22-Sep-13,24067
23-Sep-13,24980
24-Sep-13,25336
25-Sep-13,25462
26-Sep-13,26138
27-Sep-13,27294
28-Sep-13,27971
29-Sep-13,27986
30-Sep-13,28758
01-Oct-13,28965
02-Oct-13,29081
03-Oct-13,29223
04-Oct-13,29725
05-Oct-13,30500
06-Oct-13,30626
07-Oct-13,31850
08-Oct-13,32495
09-Oct-13,34186
10-Oct-13,35202
11-Oct-13,35782
12-Oct-13,35978
13-Oct-13,36003
14-Oct-13,35932
15-Oct-13,36055
16-Oct-13,35918
17-Oct-13,34965
18-Oct-13,34352
19-Oct-13,33712
20-Oct-13,33244
21-Oct-13,31323
22-Oct-13,30769
23-Oct-13,29612
24-Oct-13,28596
25-Oct-13,27939
26-Oct-13,27124
27-Oct-13,26429
28-Oct-13,23608
29-Oct-13,23070
30-Oct-13,22199
31-Oct-13,21471
01-Nov-13,21285
02-Nov-13,21703
03-Nov-13,21658
04-Nov-13,21192
05-Nov-13,21182
06-Nov-13,20240
07-Nov-13,19845
08-Nov-13,19803
09-Nov-13,19414
10-Nov-13,18995
11-Nov-13,17384
12-Nov-13,17001
13-Nov-13,16511
14-Nov-13,15728
15-Nov-13,15945
16-Nov-13,15814
17-Nov-13,15777
18-Nov-13,15702
19-Nov-13,15635
20-Nov-13,15682
21-Nov-13,15757
22-Nov-13,15988
23-Nov-13,15970
24-Nov-13,15998
25-Nov-13,16315
26-Nov-13,16443
27-Nov-13,16397
28-Nov-13,16097
29-Nov-13,16194
30-Nov-13,16180
01-Dec-13,16203
02-Dec-13,16044
03-Dec-13,16340
04-Dec-13,16661
05-Dec-13,17418
06-Dec-13,17353
07-Dec-13,17811
08-Dec-13,18381
09-Dec-13,19287
10-Dec-13,19954
11-Dec-13,21058
12-Dec-13,22060
13-Dec-13,22237
14-Dec-13,22583
15-Dec-13,22709
16-Dec-13,23606
17-Dec-13,23882
18-Dec-13,23896
19-Dec-13,24419
20-Dec-13,24897
21-Dec-13,25209
22-Dec-13,25134
23-Dec-13,25382
24-Dec-13,25343
25-Dec-13,25389
26-Dec-13,25545
27-Dec-13,25798
28-Dec-13,25933
29-Dec-13,26103
30-Dec-13,26412
31-Dec-13,26330
01-Jan-14,26072
02-Jan-14,26796
03-Jan-14,26686
04-Jan-14,26889
05-Jan-14,26971
06-Jan-14,27411
07-Jan-14,27313
08-Jan-14,27200
09-Jan-14,27616
10-Jan-14,27163
11-Jan-14,27141
12-Jan-14,26935
13-Jan-14,25246
14-Jan-14,25294
15-Jan-14,25571
16-Jan-14,25533
17-Jan-14,25458
18-Jan-14,24650
19-Jan-14,24342
20-Jan-14,22122
21-Jan-14,21982
22-Jan-14,22275
23-Jan-14,23641
24-Jan-14,24150
25-Jan-14,24711
26-Jan-14,25678
27-Jan-14,30095
28-Jan-14,32445
29-Jan-14,33839
30-Jan-14,34289
31-Jan-14,34625
01-Feb-14,34392
02-Feb-14,34607
03-Feb-14,35661
04-Feb-14,39442
05-Feb-14,36331
06-Feb-14,36200
07-Feb-14,36066
08-Feb-14,35940
09-Feb-14,35702
10-Feb-14,34731
11-Feb-14,34620
12-Feb-14,34094
13-Feb-14,36075
14-Feb-14,35927
15-Feb-14,35191
16-Feb-14,35569
17-Feb-14,36731
18-Feb-14,36540
19-Feb-14,38403
20-Feb-14,40618
21-Feb-14,47167
22-Feb-14,49567
23-Feb-14,50500
24-Feb-14,52741
25-Feb-14,56075
26-Feb-14,56467
27-Feb-14,56349
28-Feb-14,54136
01-Mar-14,53259
02-Mar-14,52891
03-Mar-14,51014
04-Mar-14,50817
05-Mar-14,50783
06-Mar-14,50009
07-Mar-14,49061
08-Mar-14,48466
09-Mar-14,48047
10-Mar-14,47518
11-Mar-14,47561
12-Mar-14,47688
13-Mar-14,47066
14-Mar-14,47481
15-Mar-14,49695
16-Mar-14,51671
17-Mar-14,58693
18-Mar-14,60655
19-Mar-14,60551
20-Mar-14,62452
21-Mar-14,65023
22-Mar-14,66278
23-Mar-14,66932
24-Mar-14,68723
25-Mar-14,68679
26-Mar-14,68538
27-Mar-14,68979
28-Mar-14,69968
29-Mar-14,69447
30-Mar-14,68817
31-Mar-14,68392
01-Apr-14,65804
02-Apr-14,65960
03-Apr-14,65866
04-Apr-14,65603
05-Apr-14,65207
06-Apr-14,65104
07-Apr-14,63085
08-Apr-14,60693
09-Apr-14,59818
10-Apr-14,58278
11-Apr-14,56533
12-Apr-14,54235
13-Apr-14,50933
14-Apr-14,45004
15-Apr-14,43311
16-Apr-14,42716
17-Apr-14,41169
18-Apr-14,39590
19-Apr-14,38943
20-Apr-14,37326
21-Apr-14,34707
22-Apr-14,33254
23-Apr-14,32504
24-Apr-14,29889
25-Apr-14,28245
26-Apr-14,27446
27-Apr-14,26791
28-Apr-14,22971
29-Apr-14,21148
30-Apr-14,19830
01-May-14,19157
02-May-14,18587
03-May-14,19118
04-May-14,17942
05-May-14,16781
06-May-14,16047
07-May-14,15927
08-May-14,15298
09-May-14,15998
10-May-14,15792
11-May-14,14976
12-May-14,13032
13-May-14,12879
14-May-14,12584
15-May-14,13524
16-May-14,12278
17-May-14,13442
18-May-14,11941
19-May-14,11540
20-May-14,11550
21-May-14,11002
22-May-14,11059
23-May-14,11107
24-May-14,12322
25-May-14,12271
26-May-14,10778
27-May-14,10845
28-May-14,10720
29-May-14,10732
30-May-14,10559
31-May-14,12180
01-Jun-14,11718
02-Jun-14,10058
03-Jun-14,10142
04-Jun-14,10254
05-Jun-14,10805
06-Jun-14,10568
07-Jun-14,11796
08-Jun-14,11822
09-Jun-14,10471
10-Jun-14,10386
11-Jun-14,10485
12-Jun-14,10593
13-Jun-14,10551
14-Jun-14,11855
15-Jun-14,11859
16-Jun-14,10514
17-Jun-14,10360
18-Jun-14,10257
19-Jun-14,10107
20-Jun-14,10033
21-Jun-14,11337
22-Jun-14,11215
23-Jun-14,9977
24-Jun-14,10003
25-Jun-14,9993
26-Jun-14,9781
27-Jun-14,9661
28-Jun-14,11021
29-Jun-14,11039
30-Jun-14,9900
01-Jul-14,10717
02-Jul-14,10577
03-Jul-14,10624
04-Jul-14,10295
05-Jul-14,11596
06-Jul-14,10658
07-Jul-14,9139
08-Jul-14,9210
09-Jul-14,10589
10-Jul-14,10023
11-Jul-14,9359
12-Jul-14,10714
13-Jul-14,10747
14-Jul-14,9382
15-Jul-14,9315
16-Jul-14,9216
17-Jul-14,9417
18-Jul-14,9485
19-Jul-14,11106
20-Jul-14,11457
21-Jul-14,11489
22-Jul-14,11784
23-Jul-14,11863
24-Jul-14,11971
25-Jul-14,12199
26-Jul-14,14096
27-Jul-14,13524
28-Jul-14,14900
29-Jul-14,14867
30-Jul-14,14554
31-Jul-14,15605
01-Aug-14,15302
02-Aug-14,15433
03-Aug-14,15099
04-Aug-14,12240
05-Aug-14,12034
06-Aug-14,12442
07-Aug-14,13271
08-Aug-14,13602
09-Aug-14,14757
10-Aug-14,14878
11-Aug-14,13383
12-Aug-14,13546
13-Aug-14,13866
14-Aug-14,14226
15-Aug-14,15507
16-Aug-14,15561
17-Aug-14,15593
18-Aug-14,16434
19-Aug-14,15560
20-Aug-14,15766
21-Aug-14,15514
22-Aug-14,15845
23-Aug-14,16621
24-Aug-14,16519
25-Aug-14,15140
26-Aug-14,15112
27-Aug-14,15164
28-Aug-14,15051
29-Aug-14,15692
30-Aug-14,15338
31-Aug-14,15350
01-Sep-14,13524
02-Sep-14,13201
03-Sep-14,13112
04-Sep-14,12912
05-Sep-14,12689
06-Sep-14,13876
07-Sep-14,13771
08-Sep-14,13389
09-Sep-14,12181
10-Sep-14,12248
11-Sep-14,12079
12-Sep-14,11944
13-Sep-14,12822
14-Sep-14,12453
15-Sep-14,11203
16-Sep-14,11124
17-Sep-14,11119
18-Sep-14,10694
19-Sep-14,11750
20-Sep-14,11895
21-Sep-14,11828
22-Sep-14,10485
23-Sep-14,10485
24-Sep-14,11677
25-Sep-14,11831
26-Sep-14,10370
27-Sep-14,11712
28-Sep-14,11787
29-Sep-14,10563
30-Sep-14,10568
01-Oct-14,10479
02-Oct-14,10493
03-Oct-14,10555
04-Oct-14,11152
05-Oct-14,10825
06-Oct-14,11631
07-Oct-14,10718
08-Oct-14,10812
09-Oct-14,10851
10-Oct-14,10728
11-Oct-14,10681
12-Oct-14,10503
13-Oct-14,10287
14-Oct-14,10262
15-Oct-14,10358
16-Oct-14,10414
17-Oct-14,10304
18-Oct-14,10308
19-Oct-14,10794
20-Oct-14,11320
21-Oct-14,11467
22-Oct-14,13476
23-Oct-14,13158
24-Oct-14,13380
25-Oct-14,13834
26-Oct-14,14024
27-Oct-14,15985
28-Oct-14,17390
29-Oct-14,18173
30-Oct-14,19547
31-Oct-14,19792
01-Nov-14,20805
02-Nov-14,21471
03-Nov-14,24990
04-Nov-14,26424
05-Nov-14,30062
06-Nov-14,32429
07-Nov-14,33429
08-Nov-14,34429
09-Nov-14,35044
10-Nov-14,37630
11-Nov-14,38849
12-Nov-14,39424
13-Nov-14,39929
14-Nov-14,40531
15-Nov-14,41690
16-Nov-14,41962
17-Nov-14,44504
18-Nov-14,45057
19-Nov-14,54566
20-Nov-14,50430
21-Nov-14,50747
22-Nov-14,51119
23-Nov-14,51442
24-Nov-14,52242
25-Nov-14,52395
26-Nov-14,52104
27-Nov-14,53355
28-Nov-14,54523
29-Nov-14,55642
30-Nov-14,57100
01-Dec-14,62076
02-Dec-14,64380
03-Dec-14,67304
04-Dec-14,71123
05-Dec-14,73870
06-Dec-14,74609
07-Dec-14,75090
08-Dec-14,75335
09-Dec-14,74453
10-Dec-14,74316
11-Dec-14,72830
12-Dec-14,71321
13-Dec-14,71165
14-Dec-14,71288
15-Dec-14,70939
16-Dec-14,72186
17-Dec-14,71755
18-Dec-14,72646
19-Dec-14,73108
20-Dec-14,73778
21-Dec-14,74184
22-Dec-14,79481
23-Dec-14,80736
24-Dec-14,80208
25-Dec-14,81652
26-Dec-14,83708
27-Dec-14,82953
28-Dec-14,83189
29-Dec-14,83233
30-Dec-14,82130
31-Dec-14,79451
01-Jan-15,79827
02-Jan-15,79742
03-Jan-15,80088
04-Jan-15,79654
05-Jan-15,77420
